image,id,annotator,annotation_id,created_at,updated_at,lead_time,choice
/data/upload/26/434b40b1-7346_0_0.jpg,67393,12,30013,2022-10-07T02:05:12.945161Z,2022-10-07T02:05:12.945179Z,2.998,
/data/upload/26/165991a6-7339_0_0.jpg,67390,12,30012,2022-10-07T02:05:05.821356Z,2022-10-07T02:05:05.821376Z,2.442,
/data/upload/26/40a7288c-7298_0_0.jpg,67369,12,30011,2022-10-07T02:05:02.165128Z,2022-10-07T02:05:02.165156Z,1.815,
/data/upload/26/3b70ee86-7228_0_0.jpg,67333,12,30010,2022-10-07T02:02:58.436291Z,2022-10-07T02:02:58.436311Z,16.283,Uso de un ornamento en la cabeza
/data/upload/26/31cca6ed-7469_0_0.jpg,67459,12,30009,2022-10-07T02:02:40.770580Z,2022-10-07T02:02:40.770598Z,4.62,Iluminacion irregular en la cara
/data/upload/26/0fb33768-7468_1_0.jpg,67458,12,30008,2022-10-07T02:02:34.008975Z,2022-10-07T02:02:34.008994Z,8.868,"{""choices"": [""Iluminacion irregular en la cara"", ""Objetos cubriedno la cara""]}"
/data/upload/26/09d9684c-7297_0_0.jpg,67368,12,30005,2022-10-07T02:01:58.751044Z,2022-10-07T02:01:58.751062Z,1.977,
/data/upload/26/2c1d0b0c-7287_0_0.jpg,67364,12,30004,2022-10-07T02:01:55.452744Z,2022-10-07T02:01:55.452763Z,5.074,Iluminacion irregular en la cara
/data/upload/26/fb26613d-7284_0_0.jpg,67363,12,30003,2022-10-07T02:01:49.144526Z,2022-10-07T02:01:49.144558Z,2.31,
/data/upload/26/6fa91679-7277_0_0.jpg,67358,12,30002,2022-10-07T02:01:45.449836Z,2022-10-07T02:01:45.449853Z,2.296,
/data/upload/26/a4dffee0-7274_0_0.jpg,67357,12,30001,2022-10-07T02:01:41.543635Z,2022-10-07T02:01:41.543656Z,4.316,Iluminacion irregular en la cara
/data/upload/26/19ce14b2-7267_0_0.jpg,67353,12,30000,2022-10-07T02:01:35.394713Z,2022-10-07T02:01:35.394731Z,2.423,
/data/upload/26/6f8a58b2-7263_0_0.jpg,67352,12,29999,2022-10-07T02:01:31.663928Z,2022-10-07T02:01:31.663947Z,2.142,
/data/upload/26/80faae46-7241_0_0.jpg,67341,12,29998,2022-10-07T02:01:27.204854Z,2022-10-07T02:01:27.204870Z,1.71,
/data/upload/26/fadcd4fb-7231_0_0.jpg,67336,12,29997,2022-10-07T02:01:24.143825Z,2022-10-07T02:01:24.143843Z,7.803,"{""choices"": [""Iluminacion irregular en la cara"", ""Uso de un ornamento en la cabeza""]}"
/data/upload/26/8011b21c-7217_0_0.jpg,67329,12,29996,2022-10-07T02:01:13.436264Z,2022-10-07T02:01:13.436282Z,2.114,
/data/upload/26/ebcf0423-7209_0_0.jpg,67323,12,29995,2022-10-07T02:01:10.194093Z,2022-10-07T02:01:10.194111Z,2.491,
/data/upload/26/baafb43e-7313_0_0.jpg,67377,12,29994,2022-10-07T02:01:06.139773Z,2022-10-07T02:01:06.139791Z,2.242,
/data/upload/26/9b030831-7280_0_0.jpg,67360,12,29993,2022-10-07T02:01:02.746148Z,2022-10-07T02:01:02.746166Z,4.541,Uso de un ornamento en la cabeza
/data/upload/26/78d93b7d-7278_0_0.jpg,67359,12,29992,2022-10-07T02:00:56.510763Z,2022-10-07T02:00:56.510783Z,2.784,
/data/upload/26/4dd00311-7281_0_0.jpg,67361,12,29991,2022-10-07T02:00:51.303638Z,2022-10-07T02:00:51.303656Z,9.175,Iluminacion irregular en la cara
/data/upload/26/da48b7dc-7252_0_0.jpg,67349,12,29990,2022-10-07T02:00:40.316291Z,2022-10-07T02:00:40.316313Z,5.027,"{""choices"": [""Iluminacion irregular en la cara"", ""Uso de un ornamento en la cabeza""]}"
/data/upload/26/5706db0e-7234_0_0.jpg,67337,12,29989,2022-10-07T02:00:11.127621Z,2022-10-07T02:00:11.127640Z,4.357,Iluminacion irregular en la cara
/data/upload/26/2bea2b47-7218_0_0.jpg,67330,12,29988,2022-10-07T02:00:05.205057Z,2022-10-07T02:00:05.205109Z,3.123,
