path,bb_x1,bb_y1,bb_x2,bb_y2,width,height
/home/ubuntu/Youtube/pictures/1/live/1_0.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1008.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1032.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1056.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1080.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1104.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1128.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1152.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1176.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_120.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1200.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1224.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1248.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1272.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1296.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1320.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1344.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1368.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1392.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1416.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_144.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1440.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1464.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1488.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1512.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1536.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1560.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1584.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1608.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1632.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1656.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_168.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1680.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1704.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1728.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1752.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1776.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1800.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_1824.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_192.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_216.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_24.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_240.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_264.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_288.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_312.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
/home/ubuntu/Youtube/pictures/1/live/1_336.jpg,2167.1501,903.7033,2571.366,1409.8605,1280,720
