sombrero,faceRect,iluminacion_indadecuada,path,postura_inadecuada,lentes_oscuros,lentes_claros,cara_cubierta,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,height,width
0,[251.63342898 136.741033   116.61406026 133.1420373 ],0,AbdA_00001_m_31_i_fr_nc_no_2016_2_e0_nl_o.jpg,0,0,1,0,284.1363636363636,174.68181818181813,336.5,171.77272727272725,313.95454545454544,205.2272727272727,288.5,233.59090909090907,338.6818181818182,231.40909090909088,480,640
0,[244.28766141 129.39526542 117.53228121 125.79626973],0,AbdA_00002_m_31_i_fr_nc_sr_2016_2_e0_nl_o.jpg,0,0,1,0,276.8636363636364,162.31818181818176,328.5,159.40909090909088,306.6818181818182,193.59090909090907,280.5,221.95454545454538,329.22727272727275,220.5,480,640
0,[247.96054519 126.64060258 119.3687231  123.95982783],1,AbdA_00003_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,279.04545454545456,162.31818181818176,332.8636363636364,158.68181818181813,310.3181818181818,190.68181818181813,284.8636363636364,219.77272727272725,335.0454545454545,218.31818181818176,480,640
0,[246.1241033  131.23170732 121.20516499 121.20516499],1,AbdA_00004_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,277.59090909090907,162.31818181818176,331.40909090909093,158.68181818181813,311.04545454545456,192.86363636363632,286.3181818181818,220.5,341.5909090909091,216.86363636363632,480,640
0,[244.28766141 123.88593974 123.04160689 125.79626973],1,AbdA_00005_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,279.04545454545456,160.13636363636363,335.0454545454545,159.40909090909088,310.3181818181818,189.95454545454538,284.8636363636364,217.59090909090907,337.22727272727275,213.95454545454538,480,640
0,[247.96054519 133.06814921 120.28694405 116.61406026],1,AbdA_00006_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,279.77272727272725,160.86363636363632,331.40909090909093,158.68181818181813,310.3181818181818,191.40909090909088,283.40909090909093,219.77272727272725,339.4090909090909,214.68181818181813,480,640
0,[247.04232425 126.64060258 117.53228121 132.22381636],1,AbdA_00007_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,277.59090909090907,160.86363636363632,331.40909090909093,159.40909090909088,311.04545454545456,189.2272727272727,282.6818181818182,219.0454545454545,337.95454545454544,213.95454545454538,480,640
0,[246.1241033  124.80416069 119.3687231  128.55093257],1,AbdA_00008_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,277.59090909090907,162.31818181818176,334.3181818181818,160.13636363636363,310.3181818181818,191.40909090909088,283.40909090909093,218.31818181818176,335.77272727272725,218.31818181818176,480,640
0,[246.1241033  126.64060258 122.12338594 130.38737446],1,AbdA_00009_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,279.77272727272725,163.0454545454545,332.8636363636364,159.40909090909088,311.04545454545456,192.13636363636363,283.40909090909093,222.68181818181813,340.1363636363636,216.86363636363632,480,640
0,[247.96054519 129.39526542 119.3687231  124.87804878],1,AbdA_00010_m_31_i_fr_nc_hp_2016_2_e0_nl_o.jpg,0,0,1,0,278.3181818181818,163.0454545454545,332.8636363636364,160.86363636363632,311.04545454545456,192.86363636363632,281.22727272727275,221.95454545454538,338.6818181818182,218.31818181818176,480,640
