path,bb_x1,bb_y1,bb_x2,bb_y2
n003443_0047_01.jpg,129.26746,80.79632,380.13422,411.3675
n003443_0162_01.jpg,38.096733,33.89713,91.6676,110.902596
n003443_0106_01.jpg,119.70781,17.994402,317.0287,282.71634
n003443_0006_01.jpg,128.29428,57.06264,330.66113,342.72702
n003443_0099_01.jpg,146.48897,59.775745,381.4923,348.63284
n003443_0356_01.jpg,117.5172,-10.514529,301.17502,218.08716
n003443_0245_01.jpg,93.03957,84.79643,216.72559,257.711
n003443_0291_02.jpg,19.431757,17.691961,54.693302,67.89537
n003443_0295_01.jpg,100.13431,60.492096,339.17105,324.4704
n003443_0408_01.jpg,84.5608,60.95321,215.20433,238.51031
n003443_0282_01.jpg,40.3643,43.698627,104.08519,125.87421
n003443_0350_01.jpg,30.035759,25.80318,76.23036,89.15985
n003443_0400_01.jpg,53.321514,44.34285,138.27148,156.08615
n003443_0352_01.jpg,214.88069,-2.0787776,567.4771,363.12576
n003443_0157_01.jpg,92.38862,83.3851,304.7483,354.56638
n003443_0084_01.jpg,33.411816,33.35352,76.27209,90.90367
n003443_0020_01.jpg,119.63317,73.57574,326.79953,350.0284
n003443_0082_01.jpg,23.65075,21.927795,61.420113,72.26592
n003443_0398_01.jpg,48.96584,53.985775,135.8569,163.70827
n003443_0037_01.jpg,41.460674,42.809887,102.835335,128.89896
n003443_0081_01.jpg,55.95621,57.179142,128.13622,161.04718
n003443_0280_01.jpg,92.20712,81.153046,247.82274,303.10495
n003443_0074_01.jpg,80.34519,72.8931,216.1623,262.3926
n003443_0076_01.jpg,115.70563,87.26267,284.90323,316.87537
n003443_0147_01.jpg,182.3072,72.27936,446.57706,430.85925
n003443_0195_02.jpg,33.560604,29.95368,79.528206,97.09395
n003443_0100_01.jpg,74.43425,89.55957,230.16513,290.72638
n003443_0045_01.jpg,28.210308,20.232138,391.60202,332.33182
n003443_0267_01.jpg,132.32509,-26.210073,449.91248,297.112
n003443_0126_01.jpg,-25.00975,-22.255144,465.76538,400.55188
n003443_0113_01.jpg,112.245865,54.32519,319.1293,308.88925
n003443_0069_01.jpg,108.13665,39.08776,255.71066,245.59015
n003443_0211_02.jpg,21.59215,19.253164,53.537323,63.239643
n003443_0420_01.jpg,89.97675,88.42428,237.83571,263.2005
n003443_0164_03.jpg,18.851158,19.553644,53.453568,61.883476
n003443_0105_04.jpg,42.684517,38.97856,92.802185,115.67791
n003443_0175_01.jpg,43.693977,47.08739,121.330986,148.93617
n003443_0050_01.jpg,100.28662,100.28268,256.89722,294.80853
n003443_0098_01.jpg,65.74838,-11.156935,368.21793,271.3066
n003443_0119_01.jpg,80.380226,59.455364,212.22992,225.5129
n003443_0304_01.jpg,41.89168,40.861164,107.42705,133.60095
n003443_0112_01.jpg,95.43219,76.87597,276.45932,326.60187
n003443_0348_01.jpg,111.822624,84.65783,283.6144,311.03168
n003443_0337_01.jpg,29.68597,26.650484,73.95454,92.48022
n003443_0055_01.jpg,60.802086,59.012253,162.6784,198.80293
n003443_0154_01.jpg,44.807636,3.5193202,149.22444,97.407524
n003443_0200_01.jpg,40.44149,38.259254,93.951485,116.29438
n003443_0123_02.jpg,36.508686,34.403122,86.15638,101.54113
n003443_0096_01.jpg,141.8647,139.99345,380.2119,452.1887
n003443_0390_01.jpg,108.75785,109.54666,268.79092,327.88525
n003443_0011_01.jpg,44.87578,38.083576,112.60364,139.729
n003443_0010_01.jpg,119.77191,108.18982,316.5367,372.00687
n003443_0109_01.jpg,45.34232,43.913044,110.61032,126.17052
n003443_0120_01.jpg,93.97775,53.716015,226.354,238.20323
n003443_0284_01.jpg,46.19014,24.210236,124.9289,116.55889
n003443_0004_01.jpg,81.275505,20.417454,246.00612,225.41344
n003443_0138_01.jpg,81.79275,84.51482,216.89896,257.11465
n003443_0036_01.jpg,78.47772,56.63787,195.48418,223.20773
n003443_0391_01.jpg,61.941696,58.40609,148.99648,181.38626
n003443_0016_01.jpg,62.416534,60.85533,149.53015,180.62831
n003443_0046_01.jpg,67.13899,62.220013,163.90916,208.01077
n003443_0002_02.jpg,9.877146,44.206802,79.55136,133.67165
n003443_0030_02.jpg,53.50097,57.994976,152.6174,187.53835
n003443_0217_01.jpg,129.31346,60.959705,272.48456,285.2699
n003443_0203_01.jpg,38.20002,36.53793,99.62492,118.912796
n003443_0124_01.jpg,92.074905,64.39136,227.66663,255.42633
n003443_0392_01.jpg,106.94357,87.9154,279.98608,324.836
n003443_0255_02.jpg,42.617718,43.87717,156.37155,148.3723
n003443_0178_02.jpg,69.270744,57.329666,160.73294,199.79338
n003443_0240_01.jpg,100.35215,70.94347,247.76709,257.98633
n003443_0007_01.jpg,59.16889,56.443657,144.59633,178.63457
n003443_0269_01.jpg,66.73801,67.86849,172.71577,196.19293
n003443_0121_01.jpg,50.51123,51.939137,129.36047,162.46164
n003443_0051_01.jpg,104.07579,-0.26176214,254.55142,193.85316
n003443_0056_03.jpg,31.077433,30.0721,74.32871,89.41407
n003443_0151_01.jpg,127.52533,83.28541,316.68445,357.5512
n003443_0104_01.jpg,77.76938,75.64976,202.48721,239.67654
n003443_0265_01.jpg,102.492485,36.65058,258.34708,255.618
n003443_0035_01.jpg,144.80891,96.42791,355.37003,372.89938
n003443_0297_01.jpg,252.8599,80.39233,625.1503,599.2167
n003443_0334_01.jpg,93.44753,46.84753,256.39355,297.99133
n003443_0139_01.jpg,82.41536,62.115353,198.10666,225.35551
n003443_0244_01.jpg,64.645096,59.998096,153.28293,185.95639
n003443_0279_01.jpg,42.748154,51.64823,124.854034,151.79547
n003443_0089_02.jpg,42.106915,40.158287,115.66974,141.0934
n003443_0150_01.jpg,31.689156,30.56054,82.17656,97.096016
n003443_0059_01.jpg,44.9436,39.447315,113.84277,137.21805
n003443_0248_01.jpg,45.145203,151.23177,324.95184,445.5762
n003443_0040_01.jpg,59.63675,59.043915,151.13036,181.02768
n003443_0399_01.jpg,66.309746,71.061745,181.1935,222.35028
n003443_0022_01.jpg,101.55867,0.31943178,338.93182,300.77814
n003443_0053_01.jpg,75.049164,72.03408,178.03207,221.06161
n003443_0183_01.jpg,120.18021,3.2921135,271.45334,247.9532
n003443_0397_01.jpg,45.31261,42.218937,103.11384,126.489624
n003443_0414_01.jpg,66.283165,59.79397,160.16402,192.00249
n003443_0019_01.jpg,41.827793,42.94524,108.347305,134.13254
n003443_0242_01.jpg,28.236359,26.398417,64.638985,79.00404
n003443_0170_01.jpg,38.75199,38.887356,95.93317,114.18273
n003443_0005_01.jpg,110.04069,49.408424,272.031,271.80682
n003443_0054_01.jpg,32.69946,31.238869,84.67751,102.84687
n003443_0068_01.jpg,187.69405,150.233,497.34232,513.3094
n003443_0071_01.jpg,91.84757,-12.019794,436.05206,297.8723
n003443_0169_01.jpg,54.98931,60.362602,156.19032,191.37782
n003443_0166_04.jpg,43.31204,39.16436,97.43269,119.30398
